rec,address,code2,code,count,lat,lng
1,四川省绵阳市涪城区丰谷镇致富村村委会七社,510703100207,510703100207,883,31.352073165,104.835313240
1,四川省绵阳市涪城区丰谷镇建设村民委员会,510703100208,510703100208,1336,31.361538474,104.799392383
1,四川省绵阳市涪城区丰谷镇李家桥村村委会七社,510703100209,510703100209,1235,31.369624926,104.791089312
1,四川省绵阳市涪城区丰谷镇回龙沟村村委会六社,510703100210,510703100210,1484,31.352073165,104.835313240
1,四川省绵阳市涪城区丰谷镇兴隆沟村村委会六社,510703100211,510703100211,1409,31.356622415,104.813286262
1,四川省绵阳市江油市太平镇古柏村委会八组,510781101220,510781101220,2966,31.766626926,104.728645132
1,四川省绵阳市梓潼县仙鹅乡藏鹅社区居委会,510725212800,510725212800,369,31.768345879,105.062705590
1,四川省绵阳市江油市枫顺乡枫橡村三组,510781123201,510781123201,850,32.244240689,105.059624602
1,四川省绵阳市科创区创业园街道办事处兴隆?,510776001006,510776001006,1005,31.484825500,104.701180609
1,四川省绵阳市三台县曙光乡,510722204001,510722204001,390,30.900296328,105.125213449
1,四川省江油市太平镇古柏村民委员会,510781101221,510781101221,1044,31.766626926,104.728645132
1,四川省绵阳市北川县曲山镇任家坪二组,510726103001,510726103001,849,31.816829683,104.457498351
1,四川省绵阳市三台县双乐乡双拱桥村委会一组,510722212201,510722212201,1313,30.861335706,105.233112715
1,四川省绵阳市三台县双乐乡五泉山村委会八组,510722212202,510722212202,1373,30.861335706,105.233112715
1,四川省三台县双乐乡宋武沟村民委员会,510722212203,510722212203,1006,30.861335706,105.233112715
1,四川省绵阳市三台县双乐乡王家堰村委会四组,510722212204,510722212204,1120,30.861335706,105.233112715
1,四川省三台县双乐乡宋观庙村民委员会,510722212205,510722212205,1599,30.861335706,105.233112715
1,四川省三台县双乐乡王太沟村民委员会,510722212206,510722212206,1676,30.856547038,105.235382351
1,四川省三台县双乐乡大石包村民委员会,510722212207,510722212207,1131,30.861335706,105.233112715
1,四川省绵阳市三台县双乐乡钟鹤楼村委会九组,510722212208,510722212208,1516,30.861335706,105.233112715
1,四川省绵阳市三台县双乐乡状元碑村委会九组,510722212209,510722212209,2333,30.861335706,105.233112715
1,四川省绵阳市游仙区梓棉乡湖广村委会三组,510704206201,510704206201,773,31.400637563,105.032708329
1,四川省绵阳市游仙区梓棉乡葫芦村民委员会,510704206202,510704206202,967,31.423249751,105.001620767
1,四川省绵阳市游仙区梓棉乡黎明村四组,510704206203,510704206203,960,31.407129207,104.986923762
